,ensembl
1065,mir3919
1066,mir3920
1067,mir3922
1068,mir3925
1069,mir3926-1
1070,mir3926-2
1071,mir3928
1072,mir3934
1073,mir3936
1074,mir3937
1075,mir3938
1076,mir3939
1077,mir3940
1078,mir3941
1079,mir3942
1080,mir3943
1081,mir3944
1082,mir409
1083,mir410
1084,mir411
1085,mir421
1086,mir423
1087,mir424
1088,mir4286
1089,mir431
1090,mir432
1091,mir4326
1092,mir433
1093,mir4419b
1094,mir4421
1095,mir4423
1096,mir4424
1097,mir4431
1098,mir4433b
1099,mir4434
1100,mir4442
1101,mir4443
1102,mir4444-2
1103,mir4445
1104,mir4446
1105,mir4449
1106,mir4450
1107,mir4452
1108,mir4453
1109,mir4454
1110,mir4461
1111,mir4466
1112,mir4469
1113,mir4470
1114,mir4473
1115,mir4478
1116,mir4484
1117,mir4487
1118,mir4491
1119,mir4494
1120,mir449b
1121,mir4501
1122,mir450b
1123,mir4510
1124,mir4511
1125,mir4515
1126,mir4519
1127,mir4521
1128,mir4522
1129,mir4523
1130,mir4525
1131,mir4526
1132,mir4529
1133,mir4533
1134,mir4536-2
1135,mir4632
1136,mir4633
1137,mir4636
1138,mir4638
1139,mir4639
1140,mir4640
1141,mir4644
1142,mir4645
1143,mir4646
1144,mir4647
1145,mir4649
1146,mir4652
1147,mir4654
1148,mir4659b
1149,mir466
1150,mir4660
1151,mir4661
1152,mir4662a
1153,mir4664
1154,mir4665
1155,mir4667
1156,mir4670
1157,mir4673
1158,mir4674
1159,mir4675
1160,mir4676
1161,mir4677
1162,mir4678
1163,mir4679-1
1164,mir4679-2
1165,mir4680
1166,mir4683
1167,mir4684
1168,mir4685
1169,mir4687
1170,mir4690
1171,mir4691
1172,mir4695
1173,mir4699
1174,mir4700
1175,mir4701
1176,mir4703
1177,mir4705
1178,mir4707
1179,mir4709
1180,mir4712
1181,mir4714
1182,mir4715
1183,mir4716
1184,mir4723
1185,mir4724
1186,mir4725
1187,mir4726
1188,mir4727
1189,mir4728
1190,mir4733
1191,mir4736
1192,mir4738
1193,mir4739
1194,mir4740
1195,mir4742
1196,mir4743
1197,mir4745
1198,mir4746
1199,mir4748
1200,mir4749
1201,mir4752
1202,mir4753
1203,mir4754
1204,mir4756
1205,mir4757
1206,mir4758
1207,mir4762
1208,mir4763
1209,mir4766
1210,mir4767
1211,mir4768
1212,mir4770
1213,mir4771-2
1214,mir4775
1215,mir4781
1216,mir4782
1217,mir4784
1218,mir4785
1219,mir4786
1220,mir4787
1221,mir4788
1222,mir4789
1223,mir4790
1224,mir4791
1225,mir4794
1226,mir4795
1227,mir4796
1228,mir4797
1229,mir4800
1230,mir4802
1231,mir4804
1232,mir485
1233,mir487b
1234,mir488
1235,mir491
1236,mir492
1237,mir493
1238,mir494
1239,mir495
1240,mir496
1241,mir4999
1242,mir499b
1243,mir5000
1244,mir5001
1245,mir5003
1246,mir5006
1247,mir5009
1248,mir5010
1249,mir503
1250,mir5047
1251,mir5087
1252,mir5089
1253,mir5090
1254,mir5091
1255,mir5092
1256,mir5187
